"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"Southern California","USSG","median","weekly","Bike",1.29,75,5713.95348837209
"Southern California","USSG","median","weekly","Total",16.26,150,822.509225092251
"San Diego County","USSG","median","weekly","Walk",15.15,75,395.049504950495
"San Diego County","USSG","median","weekly","Bike",2.05,75,3558.53658536585
"San Diego County","USSG","median","weekly","Total",17.2,150,772.093023255814
"California","USSG","mean","daily","Walk",5.27,19.32,266.603415559772
"California","USSG","mean","daily","Bike",0.52,19.32,3615.38461538462
"California","USSG","mean","daily","Total",5.78,38.64,568.512110726644
"SF Bay Area","USSG","mean","daily","Walk",8.26,18.06,118.64406779661
"SF Bay Area","USSG","mean","daily","Bike",0.84,18.06,2050
"SF Bay Area","USSG","mean","daily","Total",9.1,36.11,296.813186813187
"San Joaquin Valley","USSG","mean","daily","Walk",3.97,23.56,493.450881612091
"San Joaquin Valley","USSG","mean","daily","Bike",0.26,23.56,8961.53846153846
"San Joaquin Valley","USSG","mean","daily","Total",4.23,47.13,1014.18439716312
"Sacramento Area","USSG","mean","daily","Walk",4.63,19.79,327.429805615551
"Sacramento Area","USSG","mean","daily","Bike",0.83,19.79,2284.33734939759
"Sacramento Area","USSG","mean","daily","Total",5.46,39.58,624.908424908425
"Southern California","USSG","mean","daily","Walk",4.66,19.86,326.18025751073
"Southern California","USSG","mean","daily","Bike",0.4,19.86,4865
"Southern California","USSG","mean","daily","Total",5.06,39.71,684.782608695652
"San Diego County","USSG","mean","daily","Walk",4.21,17.89,324.940617577197
"San Diego County","USSG","mean","daily","Bike",0.57,17.89,3038.59649122807
"San Diego County","USSG","mean","daily","Total",4.79,35.77,646.764091858038
"California","USSG","median","daily","Walk",2.5,10.71,328.4
"California","USSG","median","daily","Bike",0.24,10.71,4362.5
"California","USSG","median","daily","Total",2.74,21.43,682.116788321168
"SF Bay Area","USSG","median","daily","Walk",4.28,10.71,150.233644859813
"SF Bay Area","USSG","median","daily","Bike",0.44,10.71,2334.09090909091
"SF Bay Area","USSG","median","daily","Total",4.72,21.43,354.025423728814
"San Joaquin Valley","USSG","median","daily","Walk",1.52,10.71,604.605263157895
"San Joaquin Valley","USSG","median","daily","Bike",0.1,10.71,10610
"San Joaquin Valley","USSG","median","daily","Total",1.61,21.43,1231.05590062112
"Sacramento Area","USSG","median","daily","Walk",2.14,10.71,400.467289719626
"Sacramento Area","USSG","median","daily","Bike",0.38,10.71,2718.42105263158
"Sacramento Area","USSG","median","daily","Total",2.52,21.43,750.396825396825
"Southern California","USSG","median","daily","Walk",2.14,10.71,400.467289719626
"Southern California","USSG","median","daily","Bike",0.18,10.71,5850
"Southern California","USSG","median","daily","Total",2.32,21.43,823.706896551724
"San Diego County","USSG","median","daily","Walk",2.16,10.71,395.833333333333
"San Diego County","USSG","median","daily","Bike",0.29,10.71,3593.10344827586
"San Diego County","USSG","median","daily","Total",2.46,21.43,771.138211382114
"California","ShortTrips","mean","weekly","Walk",36.8722618,62.959,70.7489503668039
"Sacramento Area","ShortTrips","mean","weekly","Walk",32.4,57.19925,76.5408950617284
"San Diego County","ShortTrips","mean","weekly","Walk",29.5,47.7752307692308,61.9499348109517
"San Joaquin Valley","ShortTrips","mean","weekly","Walk",27.8,53.3648846153846,91.9600166021029
"SF Bay Area","ShortTrips","mean","weekly","Walk",57.7967337,79.6175,37.7543243416885
"Southern California","ShortTrips","mean","weekly","Walk",32.6,63.0265961538461,93.3331170363379
"California","ShortTrips","mean","weekly","Bike",3.6107393,85.4764615384615,2267.28421623964
"Sacramento Area","ShortTrips","mean","weekly","Bike",5.8,109.858379807692,1794.10999668435
"San Diego County","ShortTrips","mean","weekly","Bike",4,64.457375,1511.434375
"San Joaquin Valley","ShortTrips","mean","weekly","Bike",1.8,67.7449278846154,3663.60710470085
"SF Bay Area","ShortTrips","mean","weekly","Bike",5.8972102,91.4545096153846,1450.80973059744
"Southern California","ShortTrips","mean","weekly","Bike",2.8,102.083990384615,3545.85679945055
"California","ShortTrips","mean","weekly","Total",40.4830011,148.435461538462,266.66120965637
"Sacramento Area","ShortTrips","mean","weekly","Total",38.2,167.057629807692,337.323638240032
"San Diego County","ShortTrips","mean","weekly","Total",33.5,112.232605769231,235.022703788749
"San Joaquin Valley","ShortTrips","mean","weekly","Total",29.6,121.1098125,309.154771959459
"SF Bay Area","ShortTrips","mean","weekly","Total",63.6939439,171.072009615385,168.584419711816
"Southern California","ShortTrips","mean","weekly","Total",35.4,165.110586538462,366.414086266841
"California","ShortTrips","median","weekly","Walk",17.4931280349376,32.0763864047135,83.3656413001154
"Sacramento Area","ShortTrips","median","weekly","Walk",14.9568519857661,28.7147139434081,91.9836739090208
"San Diego County","ShortTrips","median","weekly","Walk",15.1453251811537,25.8999735013324,71.0096890726477
"San Joaquin Valley","ShortTrips","median","weekly","Walk",10.6089511196833,21.4273233794567,101.974004194454
"SF Bay Area","ShortTrips","median","weekly","Walk",29.9793141245031,44.5210932373215,48.506043375198
"Southern California","ShortTrips","median","weekly","Walk",14.9701219335151,31.4818226256841,110.297703422192
"California","ShortTrips","median","weekly","Bike",1.71302550459979,43.5485952574743,2442.20355391897
"Sacramento Area","ShortTrips","median","weekly","Bike",2.67746115794579,55.1502327471806,1959.79581005363
"San Diego County","ShortTrips","median","weekly","Bike",2.05360341439372,34.9437203669278,1601.580749331
"San Joaquin Valley","ShortTrips","median","weekly","Bike",0.686910504152157,27.2012670422443,3859.94338095301
"SF Bay Area","ShortTrips","median","weekly","Bike",3.05889806786822,51.1401984433077,1571.85036273366
"Southern California","ShortTrips","median","weekly","Bike",1.28577734398289,50.9910144975262,3865.77329163181
"California","ShortTrips","median","weekly","Total",19.2061535395374,75.6249816621879,293.753915933807
"Sacramento Area","ShortTrips","median","weekly","Total",17.6343131437119,83.8649466905887,375.578186726788
"San Diego County","ShortTrips","median","weekly","Total",17.1989285955474,60.8436938682601,253.764442536332
"San Joaquin Valley","ShortTrips","median","weekly","Total",11.2958616238355,48.628590421701,330.499168997339
"SF Bay Area","ShortTrips","median","weekly","Total",33.0382121923713,95.6612916806291,189.547422008258
"Southern California","ShortTrips","median","weekly","Total",16.255899277498,82.4728371232103,407.340970286229
"California","ShortTrips","mean","daily","Walk",5.26746597142857,8.99414285714286,70.7489503668039
"Sacramento Area","ShortTrips","mean","daily","Walk",4.62857142857143,8.17132142857143,76.5408950617284
"San Diego County","ShortTrips","mean","daily","Walk",4.21428571428571,6.82503296703297,61.9499348109517
"San Joaquin Valley","ShortTrips","mean","daily","Walk",3.97142857142857,7.62355494505494,91.9600166021029
